sample_accession,experiment_accession,read_count,fastq_ftp,sample_name,filename,description,dna_extracted,fermented,fermentation_day
SAMEA7033952,ERX4261744,278086,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/003/ERR4313173/ERR4313173.fastq.gz,11442.G73663,G73663_5x_BD9_01_18306.mzXML,garrotxa,TRUE,yes,none
SAMEA7033954,ERX4261746,358205,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/005/ERR4313175/ERR4313175.fastq.gz,11442.G73665,G73665_5x_BA11_01_18266.mzXML,manchego,TRUE,yes,none
SAMEA7033955,ERX4261747,483813,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/006/ERR4313176/ERR4313176.fastq.gz,11442.G73666,G73666_5x_BD4_01_18301.mzXML,manchego al ramero,TRUE,yes,none
SAMEA7033956,ERX4261748,381741,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/007/ERR4313177/ERR4313177.fastq.gz,11442.G73667,G73667_5x_BG9_01_18393.mzXML,Drunken Goat,TRUE,yes,none
SAMEA7033957,ERX4261749,519979,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/008/ERR4313178/ERR4313178.fastq.gz,11442.G73668,G73668_5x_BF5_01_18330.mzXML,ossau-iraty,TRUE,yes,none
SAMEA7033958,ERX4261750,10729,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/009/ERR4313179/ERR4313179.fastq.gz,11442.G73669,G73669_5x_BH2_01_18400.mzXML,ossau-iraty,TRUE,yes,none
SAMEA7033964,ERX4261756,289739,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/005/ERR4313185/ERR4313185.fastq.gz,11442.G73675,G73675_5x_BE7_01_18318.mzXML,epoisse,TRUE,yes,none
SAMEA7033969,ERX4261761,501352,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/000/ERR4313190/ERR4313190.fastq.gz,11442.G73680,G73680_5x_BD3_01_18300.mzXML,monte enebro,TRUE,yes,none
SAMEA7033974,ERX4261766,578910,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/005/ERR4313195/ERR4313195.fastq.gz,11442.G73686,G73686_5x_BF3_01_18328.mzXML,chabichou du poitou,TRUE,yes,none
SAMEA7033976,ERX4261768,361502,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/007/ERR4313197/ERR4313197.fastq.gz,11442.G73688,G73688_5x_BG2_01_18386.mzXML,vacherin fribourgeois,TRUE,yes,none
SAMEA7033977,ERX4261769,543503,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/008/ERR4313198/ERR4313198.fastq.gz,11442.G73689,G73689_5x_BC4_01_18287.mzXML,"alp blossom, flower-covered rind",TRUE,yes,none
SAMEA7033978,ERX4261770,725225,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/009/ERR4313199/ERR4313199.fastq.gz,11442.G73690,G73690_5x_BG7_01_18391.mzXML,red witch,TRUE,yes,none
SAMEA7034030,ERX4261822,13414,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/001/ERR4313251/ERR4313251.fastq.gz,11442.G73985,G73985_1x_10ul_RC5_01_18610.mzXML,alpirsbacher beer (5.2% alc/vol),TRUE,yes,none
SAMEA7034049,ERX4261841,494684,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/000/ERR4313270/ERR4313270.fastq.gz,11442.G74022,G74022_5x_BG11_01_18395.mzXML,"cheese, brie",TRUE,yes,none
SAMEA7034058,ERX4261850,287606,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/009/ERR4313279/ERR4313279.fastq.gz,11442.G74032,G74032_5x_BF12_01_18337.mzXML,"spreading cheese, herb flavored",TRUE,yes,none
SAMEA7034059,ERX4261851,631980,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/000/ERR4313280/ERR4313280.fastq.gz,11442.G74033,G74033_1x_RH4_01_18596.mzXML,humm kombucha coconut lime,TRUE,yes,none
SAMEA7034060,ERX4261852,928576,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/001/ERR4313281/ERR4313281.fastq.gz,11442.G74034,G74034_1x_10ul_RA5_01_18503.mzXML,GT Kombucha Original flavor,TRUE,yes,none
SAMEA7034063,ERX4261855,7048,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/004/ERR4313284/ERR4313284.fastq.gz,11442.G74042,G74042_1x_10ul_RC3_01_18608.mzXML,Pabst Blue Ribbon,TRUE,yes,none
SAMEA7034079,ERX4261871,14680,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/000/ERR4313300/ERR4313300.fastq.gz,11442.G74078,G74078_1x_RH6_01_18598.mzXML,tequila,TRUE,yes,none
SAMEA7034099,ERX4261891,374714,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/000/ERR4313320/ERR4313320.fastq.gz,11442.G75087,G75087_5x_BF2_01_18327.mzXML,cheddar cheese,TRUE,yes,none
SAMEA7034172,ERX4261964,24029,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/003/ERR4313393/ERR4313393.fastq.gz,11442.G75245,G75245_1x_RA10_01_18499.mzXML,wine 4 coach insignia; cabernet sauvignon,TRUE,yes,red
SAMEA7034174,ERX4261966,661706,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/005/ERR4313395/ERR4313395.fastq.gz,11442.G75252,G75252_1x_RH9_01_18601.mzXML,"Kinsella estates wine 3 a from bottle; b from glass, undrunk; cabernet sauvignon 2012",TRUE,yes,red
SAMEA7034203,ERX4261995,456151,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/004/ERR4313424/ERR4313424.fastq.gz,11442.G75623,G75623_BF3_01_19019.mzXML,chocolate icing,TRUE,yes,none
SAMEA7034209,ERX4262001,461650,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/000/ERR4313430/ERR4313430.fastq.gz,11442.G75630,G75630_BD11_01_18999.mzXML,pita chip,TRUE,yes,none
SAMEA7034210,ERX4262002,494113,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/001/ERR4313431/ERR4313431.fastq.gz,11442.G75631,G75631_BB4_01_18926.mzXML,Kaes Spaetzle (Austrian Mac and Cheese),TRUE,yes,none
SAMEA7034214,ERX4262006,633821,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/005/ERR4313435/ERR4313435.fastq.gz,11442.G75667,G75667_BB2_01_18924.mzXML,granola bar with chocolate,TRUE,yes,none
SAMEA7034247,ERX4262039,856953,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/008/ERR4313468/ERR4313468.fastq.gz,11442.G75722,G75722_1x_10ul_RC6_01_18529.mzXML,jun,TRUE,yes,none
SAMEA7034254,ERX4262046,768093,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/005/ERR4313475/ERR4313475.fastq.gz,11442.G75743,G75743_1x_RE3_01_18554.mzXML,cucumber mint kombucha (Julia homemade),TRUE,yes,none
SAMEA7034260,ERX4262052,801013,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/001/ERR4313481/ERR4313481.fastq.gz,11442.G75769,G75769_1x_10_RA9_01_18507.mzXML,blueberry kombucha (homemade),TRUE,yes,none
SAMEA7034261,ERX4262053,1108219,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/002/ERR4313482/ERR4313482.fastq.gz,11442.G75770,G75770_1x_RE10_01_18561.mzXML,mature kombucha (3rd Round),TRUE,yes,none
SAMEA7034262,ERX4262054,424459,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/003/ERR4313483/ERR4313483.fastq.gz,11442.G75771,G75771_1x_RD10_01_18547.mzXML,mature kombucha (from scoby #2 round 1),TRUE,yes,none
SAMEA7034283,ERX4262075,191869,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/004/ERR4313504/ERR4313504.fastq.gz,11442.G78826,G78826_5x_BC2_01_18285.mzXML,grilled cheese- cheese only,TRUE,yes,none
SAMEA7032160,ERX4259875,692940,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/002/ERR4311232/ERR4311232.fastq.gz,11442.G72474,G72474_5x_10ul_BB8_01_19656.mzXML,dark chocolate w/ hazelnuts,TRUE,yes,none
SAMEA7032168,ERX4259883,796976,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/000/ERR4311240/ERR4311240.fastq.gz,11442.G73492,73492_1x_BF3_01_21384.mzXML,"kombucha, homemade 2ndary fruit ferment, red fruit",TRUE,yes,none
SAMEA7032173,ERX4259888,5741,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/005/ERR4311245/ERR4311245.fastq.gz,11442.G73497,73497_1x_BH3_01_20777.mzXML,"tea black, green, sugar",TRUE,yes,none
SAMEA7032176,ERX4259891,1257138,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/008/ERR4311248/ERR4311248.fastq.gz,11442.G73504,73504_1x_BD5_01_20745.mzXML,mango kefir,TRUE,yes,none
SAMEA7032177,ERX4259892,862433,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/009/ERR4311249/ERR4311249.fastq.gz,11442.G73507,73507_1x_BG4_01_20769.mzXML,bai antioxidant cocofusion,TRUE,yes,none
SAMEA7032182,ERX4259897,669880,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/004/ERR4311254/ERR4311254.fastq.gz,11442.G73516,73516_1x_BC5_01_20737.mzXML,clear mind kombucha,TRUE,yes,none
SAMEA7032191,ERX4259906,536776,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/003/ERR4311263/ERR4311263.fastq.gz,11442.G73964,G73964_1x_BF7_01_23203.mzXML,burrata mozzarella,TRUE,yes,none
SAMEA7032196,ERX4259911,1113045,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/008/ERR4311268/ERR4311268.fastq.gz,11442.G74058,74058_1x_BF2_01_21383.mzXML,california kimchi brine,TRUE,yes,none
SAMEA7032202,ERX4259917,5192,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/004/ERR4311274/ERR4311274.fastq.gz,11442.G74090,74090_1x_rerun_BA7_01_21395.mzXML,"Copper Moon Kenyan coffee, pour-over",TRUE,yes,none
SAMEA7032203,ERX4259918,16322,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/005/ERR4311275/ERR4311275.fastq.gz,11442.G74091,74091_1x_BG7_01_20773.mzXML,"Brazilian coffee, pour-over",TRUE,yes,none
SAMEA7032206,ERX4259921,19256,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/008/ERR4311278/ERR4311278.fastq.gz,11442.G74119,74119_1x_12ul_rerun_BB3_01_21454.mzXML,green tea with sugar,TRUE,yes,none
SAMEA7032207,ERX4259922,737202,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/009/ERR4311279/ERR4311279.fastq.gz,11442.G74125,74125_1x_12ul_rerun_BA2_01_21387.mzXML,fig kombucha,TRUE,yes,none
SAMEA7032216,ERX4259931,24168,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/008/ERR4311288/ERR4311288.fastq.gz,11442.G75220,75220_1x_BF8_01_20765.mzXML,Humm brand kombucha pomegranate lemonade flavor,TRUE,yes,none
SAMEA7032222,ERX4259937,457319,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/004/ERR4311294/ERR4311294.fastq.gz,11442.G75236,75236_1x_BD4_01_20744.mzXML,10 Anchovy fish sauce,TRUE,yes,none
SAMEA7032223,ERX4259938,143243,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/005/ERR4311295/ERR4311295.fastq.gz,11442.G75238,75238_1x_BH4_01_20778.mzXML,bai sparkling antioxidant infusion - peru pineapple,TRUE,yes,none
SAMEA7032246,ERX4259961,6880,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/008/ERR4311318/ERR4311318.fastq.gz,11442.G75733,75733_1x_BH2_01_20776.mzXML,pure leaf lemon tea,TRUE,yes,none
SAMEA7032274,ERX4259989,615212,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/006/ERR4311346/ERR4311346.fastq.gz,11442.G75816,G75816_5x_2ul_BC2_01_19693.mzXML,yerba mate,TRUE,yes,none
SAMEA7032275,ERX4259990,102185,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/007/ERR4311347/ERR4311347.fastq.gz,11442.G75817,G75817_5x_4ul_rerun_BF2_01_19761.mzXML,roasted mate,TRUE,yes,none
SAMEA7032279,ERX4259994,550779,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/001/ERR4311351/ERR4311351.fastq.gz,11442.G75821,G75821_5x_4ul_BD3_01_19708.mzXML,Golden Needle,TRUE,yes,none
SAMEA7032285,ERX4260000,1026163,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/007/ERR4311357/ERR4311357.fastq.gz,11442.G75827,G75827_5x_4ul_BH4_01_19755.mzXML,relief tonics,TRUE,yes,none
SAMEA7032290,ERX4260005,972685,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/002/ERR4311362/ERR4311362.fastq.gz,11442.G75832,G75832_5x_4ul_BD5_01_19711.mzXML,bamboo mountain,TRUE,yes,none
SAMEA7032292,ERX4260007,876605,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/004/ERR4311364/ERR4311364.fastq.gz,11442.G75834,G75834_5x_4ul_BE4_01_19721.mzXML,1st flush darjeeling,TRUE,yes,none
SAMEA7032301,ERX4260016,7337,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/003/ERR4311373/ERR4311373.fastq.gz,11442.G75850,G75850_5x_4ul_BF6_01_19735.mzXML,Hojicha,TRUE,yes,none
SAMEA7032303,ERX4260018,65953,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/005/ERR4311375/ERR4311375.fastq.gz,11442.G75852,G75852_5x_4ul_BE7_01_19724.mzXML,soaring crane,TRUE,yes,none
SAMEA7032306,ERX4260021,606470,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/008/ERR4311378/ERR4311378.fastq.gz,11442.G75855,G75855_5x_BA7_01_19613.mzXML,High Mountain Nilgiri,TRUE,yes,none
SAMEA7032307,ERX4260022,459862,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/009/ERR4311379/ERR4311379.fastq.gz,11442.G75856,G75856_5x_4ul_BD7_01_19713.mzXML,Lapu Mountain Souchong,TRUE,yes,none
SAMEA7032312,ERX4260027,5366,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/004/ERR4311384/ERR4311384.fastq.gz,11442.G75862,G75862_1x_RH6_01_26472.mzXML,"Coffee, iced, unsweetened, Starbucks",TRUE,yes,none
SAMEA7032321,ERX4260036,597175,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/003/ERR4311393/ERR4311393.fastq.gz,11442.G78958,G78958_p19_g5_GD6_01_21672.mzXML,Party platter pack Pepper Salame,TRUE,yes,none
SAMEA7032327,ERX4260042,420740,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/009/ERR4311399/ERR4311399.fastq.gz,11442.G78984,G78984_5x_10ul_BC8_01_19678.mzXML,Dutch Traditional Gouda Cheese,TRUE,yes,none
SAMEA7032341,ERX4260056,544402,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/003/ERR4311413/ERR4311413.fastq.gz,11442.G79243,G79243_5x_10ul_rerun_BG8_01_19766.mzXML,cheese ball,TRUE,yes,none
SAMEA7032396,ERX4260111,387850,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/008/ERR4311468/ERR4311468.fastq.gz,11442.G79685,G79685_5x_BH10_01_19703.mzXML,"dark chocolate, sugar free",TRUE,yes,none
SAMEA7032400,ERX4260115,563061,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/002/ERR4311472/ERR4311472.fastq.gz,11442.G79700,G79700_5x_BG11_01_19667.mzXML,So Delicious dairy free; coconut milk; yogurt alternative,TRUE,yes,none
SAMEA7032414,ERX4260129,5829,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/006/ERR4311486/ERR4311486.fastq.gz,11442.G79724,G79724_5x_4ul_BD6_01_19712.mzXML,Wuyi Mountain,TRUE,yes,none
SAMEA7032434,ERX4260148,433866,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/005/ERR4311505/ERR4311505.fastq.gz,11442.G83253,G83253_1x_RH9_01_21864.mzXML,"Twix mini (possibly, chocolate carmel tube)",TRUE,yes,none
SAMEA7032438,ERX4260152,236618,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/009/ERR4311509/ERR4311509.fastq.gz,11442.G83326,G83326_1x_RF4_01_21830.mzXML,York (dark chocolate covered peppermint Pattie),TRUE,yes,none
SAMEA7032439,ERX4260153,522502,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/000/ERR4311510/ERR4311510.fastq.gz,11442.G83327,G83327_1x_RD4_01_21767.mzXML,Kit Kat,TRUE,yes,none
SAMEA7032451,ERX4260165,464132,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/002/ERR4311522/ERR4311522.fastq.gz,11442.G83339,G83339_1x_RG2_01_21723.mzXML,M&M peanut,TRUE,yes,none
SAMEA7032456,ERX4260170,1194770,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/007/ERR4311527/ERR4311527.fastq.gz,11442.G83344,G83344_1x_BB9_01_21546.mzXML,Mango yogurt drink,TRUE,yes,none
SAMEA7032485,ERX4260199,630020,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/006/ERR4311556/ERR4311556.fastq.gz,11442.G83393,G83393_1x_RD7_01_21807.mzXML,M&M peanut butter (Blue),TRUE,yes,none
SAMEA7032486,ERX4260200,163808,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/007/ERR4311557/ERR4311557.fastq.gz,11442.G83403,G83403_1x_RA7_01_21731.mzXML,M&M peanut butter (Yellow),TRUE,yes,none
SAMEA7032487,ERX4260201,681013,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/008/ERR4311558/ERR4311558.fastq.gz,11442.G83404,G83404_1x_RH7_01_21858.mzXML,M&M peanut butter (red),TRUE,yes,none
SAMEA7032495,ERX4260209,419166,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/006/ERR4311566/ERR4311566.fastq.gz,11442.G83412,G83412_1x_RG8_01_21847.mzXML,Snickers (chocolate & white fluff),TRUE,yes,none
SAMEA7032504,ERX4260218,807682,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/005/ERR4311575/ERR4311575.fastq.gz,11442.G83423,G83423_1x_rerun_RH12_01_26532.mzXML,yakult probiotic drink,TRUE,yes,none
SAMEA7032531,ERX4260245,490697,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/002/ERR4311602/ERR4311602.fastq.gz,11442.G83462,G83462_10x_BF11_01_23207.mzXML,paneer,TRUE,yes,none
SAMEA7032533,ERX4260247,569287,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/004/ERR4311604/ERR4311604.fastq.gz,11442.G86701,G86701_1x_RC6_01_21756.mzXML,Reese's Peanut Butter (Chocolate Part),TRUE,yes,none
SAMEA7032534,ERX4260248,177447,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/005/ERR4311605/ERR4311605.fastq.gz,11442.G86702,G86702_1x_RA6_01_21730.mzXML,Reese's Peanut Butter (Peanut Butter part),TRUE,yes,none
SAMEA7032538,ERX4260252,557963,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/009/ERR4311609/ERR4311609.fastq.gz,11442.G86706,G86706_1x_RA10_01_21728.mzXML,Snickers almond,TRUE,yes,none
SAMEA7032549,ERX4260263,508333,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/000/ERR4311620/ERR4311620.fastq.gz,11442.G86717,G86717_1x_RF11_01_21838.mzXML,Almond Joy (Chocolate and Coconut),TRUE,yes,none
SAMEA7032554,ERX4260268,387541,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/005/ERR4311625/ERR4311625.fastq.gz,11442.G86722,G86722_1x_BF10_01_23206.mzXML,Dreaming cow yogurt,TRUE,yes,none
SAMEA7032571,ERX4260285,310674,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/002/ERR4311642/ERR4311642.fastq.gz,11442.G86739,G86739_10x_RG6_01_23217.mzXML,candied orange with chocolate (Whole foods),TRUE,yes,none
SAMEA7032575,ERX4260289,496324,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/006/ERR4311646/ERR4311646.fastq.gz,11442.G86752,G86752_10x_RF5_01_23200.mzXML,starfruit green tea leaves,TRUE,yes,none
SAMEA7032577,ERX4260291,556462,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/008/ERR4311648/ERR4311648.fastq.gz,11442.G86754,G86754_10x_RF4_01_23199.mzXML,jasmine green tea satchet,TRUE,yes,none
SAMEA7032583,ERX4260297,555382,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/004/ERR4311654/ERR4311654.fastq.gz,11442.G86760,G86760_10x_RH5_01_23233.mzXML,cocoa powder,TRUE,yes,none
SAMEA7032584,ERX4260298,417341,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/005/ERR4311655/ERR4311655.fastq.gz,11442.G86761,G86761_1x_BC7_01_23154.mzXML,oreo cookie outside,TRUE,yes,none
SAMEA7032610,ERX4260324,7678,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/001/ERR4311681/ERR4311681.fastq.gz,11442.G86789,G86789_1x_BA3_01_23117.mzXML,"boston sourdough loaf, white part of bread, from whole foods la jolla",TRUE,yes,none
SAMEA7032626,ERX4260340,536432,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/007/ERR4311697/ERR4311697.fastq.gz,11442.G86807,G86807_1x_BF8_01_23204.mzXML,parmesan cheese,TRUE,yes,none
SAMEA7032658,ERX4260372,386999,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/009/ERR4311729/ERR4311729.fastq.gz,11442.G86839,G86839_1x_BH6_01_23232.mzXML,Philadelphia cream cheese spread,TRUE,yes,none
SAMEA7032661,ERX4260375,108667,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/002/ERR4311732/ERR4311732.fastq.gz,11442.G86855,G86855_1x_RA12_01_23488.mzXML,vinegar,TRUE,yes,none
SAMEA7032664,ERX4260378,31452,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/005/ERR4311735/ERR4311735.fastq.gz,11442.G86866,G86866_1x_RB10_01_23501.mzXML,Kimlan soy sauce,TRUE,yes,none
SAMEA7032668,ERX4260382,499687,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/009/ERR4311739/ERR4311739.fastq.gz,11442.G86872,G86872_1x_BE10_01_23191.mzXML,homemade yogurt made with organic straus whole milk,TRUE,yes,none
SAMEA7032689,ERX4260403,429851,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/000/ERR4311760/ERR4311760.fastq.gz,11442.G86895,G86895_1x_BA12_01_23127.mzXML,Mini Butter Croissants,TRUE,yes,none
SAMEA7032695,ERX4260409,219817,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/006/ERR4311766/ERR4311766.fastq.gz,11442.G86901,G86901_1x_BB2_01_23133.mzXML,cinnamon Raisin Bagel (Monday Meeting),TRUE,yes,none
SAMEA7032707,ERX4260421,672950,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/008/ERR4311778/ERR4311778.fastq.gz,11442.G86913,G86913_1x_RH12_01_26352.mzXML,Truth Bar (Raspberry),TRUE,yes,none
SAMEA7032717,ERX4260431,399109,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/008/ERR4311788/ERR4311788.fastq.gz,11442.G86927,G86927_1x_BE5_01_23185.mzXML,plain double whipped shmear; einstein Bros Bagels; from Knight lab group meeting,TRUE,yes,none
