sample_accession,experiment_accession,read_count,fastq_ftp,sample_name,filename,description,dna_extracted,fermented,fermentation_day
SAMEA7032732,ERX4260446,155638,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/003/ERR4311803/ERR4311803.fastq.gz,11442.G86942,G86942_1x_BB10_01_26389.mzXML,spicy chai; rebbl brand; purchased at whole foods la jolla; organic,TRUE,yes,none
SAMEA7032733,ERX4260447,346303,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/004/ERR4311804/ERR4311804.fastq.gz,11442.G86943,G86943_1x_RF10_01_26449.mzXML,love flavor; brew dr. kombucha; townhends tea co.,TRUE,yes,none
SAMEA7032740,ERX4260454,904423,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/001/ERR4311811/ERR4311811.fastq.gz,11442.G86950,G86950_1x_RF9_01_26448.mzXML,vanilla oak BDK brand kombucha (sampled 1/23 frozen 1/25 8:30AM),TRUE,yes,none
SAMEA7032752,ERX4260466,6716,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/003/ERR4311823/ERR4311823.fastq.gz,11442.G86970,G86970_1x_rerun_RF5_01_26528.mzXML,tequila Corazon de Agave,TRUE,yes,none
SAMEA7032755,ERX4260469,873399,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/006/ERR4311826/ERR4311826.fastq.gz,11442.G86973,G86973_1x_RH4_01_26470.mzXML,chocolate almond-pressed juice,TRUE,yes,none
SAMEA7032761,ERX4260475,1147521,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/002/ERR4311832/ERR4311832.fastq.gz,11442.G86979,G86979_1x_BB3_01_26381.mzXML,chocolate almond pressed juicery,TRUE,yes,none
SAMEA7032799,ERX4260513,448758,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/000/ERR4311870/ERR4311870.fastq.gz,11442.G87503,G87503_1x_BB2_01_26380.mzXML,Red Trolley Ale; Karl Strauss,TRUE,yes,none
SAMEA7032802,ERX4260516,10962,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/003/ERR4311873/ERR4311873.fastq.gz,11442.G87506,G87506_1x_rerun_RE2_01_26499.mzXML,Doubleshot Coffee & Protein; Starbucks,TRUE,yes,none
SAMEA7032803,ERX4260517,731788,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/004/ERR4311874/ERR4311874.fastq.gz,11442.G87507,G87507_1x_rerun_RF2_01_26524.mzXML,"Java Monster, loca moca",TRUE,yes,none
SAMEA7032811,ERX4260525,338504,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/002/ERR4311882/ERR4311882.fastq.gz,11442.G87515,G87515_1x_BB8_01_26387.mzXML,octoberfest home brewed beer AS sample,TRUE,yes,none
SAMEA7032813,ERX4260527,560434,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/004/ERR4311884/ERR4311884.fastq.gz,11442.G87517,G87517_1x_rerun_RE8_01_26483.mzXML,BDK Love kombucha,TRUE,yes,none
SAMEA7032815,ERX4260529,1024508,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/006/ERR4311886/ERR4311886.fastq.gz,11442.G87519,G87519_1x_RG8_01_26461.mzXML,Swafford mystery beer 2,TRUE,yes,none
SAMEA7032834,ERX4260548,33433,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/005/ERR4311905/ERR4311905.fastq.gz,11442.G87543,G87543_1x_BB5_01_26557.mzXML,Hostess Golden Cupcake (chocolate frosting with a little cake),TRUE,yes,none
SAMEA7032864,ERX4260578,805823,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/005/ERR4311935/ERR4311935.fastq.gz,11442.G90210,G90210_1x_BA12_01_26376.mzXML,3 in 1 coffee from thailand (instant coffee),TRUE,yes,none
SAMEA7032867,ERX4260581,110337,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/008/ERR4311938/ERR4311938.fastq.gz,11442.G90213,G90213_1x_BB12_01_26391.mzXML,Decaf Cafee del corazon; Club Med; Fair trade certified; organic,TRUE,yes,none
SAMEA7033775,ERX4261568,496156,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/007/ERR4312997/ERR4312997.fastq.gz,11442.G72473,G72473_5x_BA12_01_18267.mzXML,dubliner cheese,TRUE,yes,none
SAMEA7033806,ERX4261599,404224,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/008/ERR4313028/ERR4313028.fastq.gz,11442.G72645,G72645_5x_BD10_01_18307.mzXML,taleggio,TRUE,yes,none
SAMEA7033813,ERX4261606,330868,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/005/ERR4313035/ERR4313035.fastq.gz,11442.G72652,G72652_5x_BG4_01_18388.mzXML,tomme brulee,TRUE,yes,none
SAMEA7033814,ERX4261607,428938,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/006/ERR4313036/ERR4313036.fastq.gz,11442.G72653,G72653_5x_BC8_01_18291.mzXML,Flagship reserve,TRUE,yes,none
SAMEA7033815,ERX4261608,671503,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/007/ERR4313037/ERR4313037.fastq.gz,11442.G72654,G72654_5x_BF11_01_18336.mzXML,choco 21,TRUE,yes,none
SAMEA7033816,ERX4261609,276360,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/008/ERR4313038/ERR4313038.fastq.gz,11442.G72655,G72655_5x_BG5_01_18389.mzXML,shropshire,TRUE,yes,none
SAMEA7033817,ERX4261610,437045,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/009/ERR4313039/ERR4313039.fastq.gz,11442.G72656,G72656_5x_BE3_01_18314.mzXML,erborinato san carione,TRUE,yes,none
SAMEA7033833,ERX4261626,480428,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/005/ERR4313055/ERR4313055.fastq.gz,11442.G72676,G72676_BB5_01_18927.mzXML,Scrambled Egg with Chorizo,TRUE,yes,none
SAMEA7033849,ERX4261642,581191,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/001/ERR4313071/ERR4313071.fastq.gz,11442.G72757,G72757_BA10_01_18918.mzXML,goat cheese with tomato dish,TRUE,yes,none
SAMEA7033870,ERX4261663,321729,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/002/ERR4313092/ERR4313092.fastq.gz,11442.G72794,G72794_5x_BB4_01_18273.mzXML,Sonoma Jack Cheddar Cheese,TRUE,yes,none
SAMEA7033871,ERX4261664,450404,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/003/ERR4313093/ERR4313093.fastq.gz,11442.G72795,G72795_5x_BF10_01_18335.mzXML,Sonoma Jack Garlic Jack Cheese,TRUE,yes,none
SAMEA7033883,ERX4261676,9345,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/005/ERR4313105/ERR4313105.fastq.gz,11442.G72820,G72820_1x_RA1_01_18497.mzXML,"Lorimar 2014 80% Sangiovese, 15% Merlot, 5 % Cabernet Sauvignon-15.3% ABV",TRUE,yes,red
SAMEA7033890,ERX4261683,20551,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/002/ERR4313112/ERR4313112.fastq.gz,11442.G72829,G72829_1x_RH1_01_18593.mzXML,Spiced Jaegermeister 35.5% ABV,TRUE,yes,none
SAMEA7033919,ERX4261711,308057,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/000/ERR4313140/ERR4313140.fastq.gz,11442.G73463,G73463_5x_BH11_01_18409.mzXML,Jalapenosalsa cream cheese,TRUE,yes,none
SAMEA7033921,ERX4261713,264319,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/002/ERR4313142/ERR4313142.fastq.gz,11442.G73465,G73465_5x_BD12_01_18309.mzXML,Honey almond cream cheese,TRUE,yes,none
SAMEA7033922,ERX4261714,264445,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/003/ERR4313143/ERR4313143.fastq.gz,11442.G73469,G73469_5x_BE9_01_18320.mzXML,blue cheese,TRUE,yes,none
SAMEA7033924,ERX4261716,579716,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/005/ERR4313145/ERR4313145.fastq.gz,11442.G73485,G73485_1x_RD9_01_18546.mzXML,"kombucha, homemade",TRUE,yes,none
SAMEA7033946,ERX4261738,407632,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/007/ERR4313167/ERR4313167.fastq.gz,11442.G73657,G73657_5x_BF4_01_18329.mzXML,abbaye de belloc,TRUE,yes,none
SAMEA7033948,ERX4261740,446264,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/009/ERR4313169/ERR4313169.fastq.gz,11442.G73659,G73659_5x_BC7_01_18290.mzXML,ewephoria,TRUE,yes,none
SAMEA7033950,ERX4261742,448222,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/001/ERR4313171/ERR4313171.fastq.gz,11442.G73661,G73661_5x_BF9_01_18334.mzXML,sarro di bufala,TRUE,yes,none
SAMEA7033953,ERX4261745,392121,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/004/ERR4313174/ERR4313174.fastq.gz,11442.G73664,G73664_5x_BG10_01_18394.mzXML,garrotxa,TRUE,yes,none
SAMEA7033960,ERX4261752,335053,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/001/ERR4313181/ERR4313181.fastq.gz,11442.G73671,G73671_5x_BB5_01_18274.mzXML,harbison,TRUE,yes,none
SAMEA7033961,ERX4261753,577837,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/002/ERR4313182/ERR4313182.fastq.gz,11442.G73672,G73672_5x_BH8_01_18406.mzXML,harbison,TRUE,yes,none
SAMEA7033962,ERX4261754,265962,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/003/ERR4313183/ERR4313183.fastq.gz,11442.G73673,G73673_5x_BC10_01_18293.mzXML,ovelha amanteigado,TRUE,yes,none
SAMEA7033970,ERX4261762,775275,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/001/ERR4313191/ERR4313191.fastq.gz,11442.G73681,G73681_5x_BG3_01_18387.mzXML,chabichou du poitou,TRUE,yes,none
SAMEA7033972,ERX4261764,403338,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/003/ERR4313193/ERR4313193.fastq.gz,11442.G73684,G73684_5x_BD7_01_18304.mzXML,monte enebro,TRUE,yes,none
SAMEA7033975,ERX4261767,420863,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/006/ERR4313196/ERR4313196.fastq.gz,11442.G73687,G73687_5x_BB6_01_18275.mzXML,lagrein,TRUE,yes,none
SAMEA7033979,ERX4261771,374967,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/000/ERR4313200/ERR4313200.fastq.gz,11442.G73694,G73694_5x_BB3_01_18272.mzXML,burrata mozzarela,TRUE,yes,none
SAMEA7033997,ERX4261789,368308,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/008/ERR4313218/ERR4313218.fastq.gz,11442.G73728,G73728_5x_BB10_01_18279.mzXML,Roquefort Papillon,TRUE,yes,none
SAMEA7034041,ERX4261833,599326,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/002/ERR4313262/ERR4313262.fastq.gz,11442.G74007,G74007_5x_BH12_01_18410.mzXML,raclette cheese,TRUE,yes,none
SAMEA7034051,ERX4261843,339716,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/002/ERR4313272/ERR4313272.fastq.gz,11442.G74024,G74024_5x_BH5_01_18403.mzXML,"cheese, gouda",TRUE,yes,none
SAMEA7034061,ERX4261853,1011438,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/002/ERR4313282/ERR4313282.fastq.gz,11442.G74036,G74036_1x_RD4_01_18541.mzXML,yogurt drink,TRUE,yes,none
SAMEA7034068,ERX4261860,6373,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/009/ERR4313289/ERR4313289.fastq.gz,11442.G74047,G74047_1x_10ul_RA4_01_18502.mzXML,Weihenstephaner Hefe Weissbier,TRUE,yes,none
SAMEA7034122,ERX4261914,292485,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/003/ERR4313343/ERR4313343.fastq.gz,11442.G75161,G75161_5x_BE2_01_18313.mzXML,string cheese,TRUE,yes,none
SAMEA7034248,ERX4262040,921440,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/009/ERR4313469/ERR4313469.fastq.gz,11442.G75723,G75723_1x_RE5_01_18556.mzXML,kombucha,TRUE,yes,none
SAMEA7034253,ERX4262045,898865,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/004/ERR4313474/ERR4313474.fastq.gz,11442.G75728,G75728_1x_10ul_RA6_01_18504.mzXML,pickled watermelon juice,TRUE,yes,none
SAMEA7034255,ERX4262047,769764,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/006/ERR4313476/ERR4313476.fastq.gz,11442.G75760,G75760_1x_RF8_01_18573.mzXML,blueberry kombucha,TRUE,yes,none
SAMEA7034264,ERX4262056,12968,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/005/ERR4313485/ERR4313485.fastq.gz,11442.G75777,G75777_1x_RG8_01_18585.mzXML,tawny port,TRUE,yes,red
SAMEA7034280,ERX4262072,539875,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/001/ERR4313501/ERR4313501.fastq.gz,11442.G78819,G78819_rerun_BC12_01_19079.mzXML,Mini M&M,TRUE,yes,orange
SAMEA7034281,ERX4262073,476378,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/002/ERR4313502/ERR4313502.fastq.gz,11442.G78820,G78820_BD12_01_19000.mzXML,"home made stuffed peppers (cumin, salt, pepper, creamcheese, chedar cheese, mozerella cheese, bacon, jalipino peppers)",TRUE,yes,yellow
SAMEA7034282,ERX4262074,50327,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/003/ERR4313503/ERR4313503.fastq.gz,11442.G78821,78821_1x_BE6_01_17446.mzXML,Store bought Olives Green,TRUE,yes,yellow/green
SAMEA7034353,ERX4262145,275382,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/004/ERR4313574/ERR4313574.fastq.gz,11442.G79210,G79210_5x_BC6_01_18289.mzXML,gouda,TRUE,yes,none
SAMEA7032169,ERX4259884,353253,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/001/ERR4311241/ERR4311241.fastq.gz,11442.G73493,73493_1x_BD3_01_20743.mzXML,"kombucha, homemade",TRUE,yes,none
SAMEA7032170,ERX4259885,616465,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/002/ERR4311242/ERR4311242.fastq.gz,11442.G73494,73494_1x_rerun_BD2_01_21380.mzXML,"kombucha, homemade",TRUE,yes,none
SAMEA7032171,ERX4259886,630327,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/003/ERR4311243/ERR4311243.fastq.gz,11442.G73495,73495_1x_BC3_01_20735.mzXML,"kombucha, homemade 2ndary fruit ferment, mango",TRUE,yes,none
SAMEA7032172,ERX4259887,8180,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/004/ERR4311244/ERR4311244.fastq.gz,11442.G73496,73496_1x_BH8_01_20782.mzXML,fish sauce,TRUE,yes,none
SAMEA7032179,ERX4259894,988033,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/001/ERR4311251/ERR4311251.fastq.gz,11442.G73511,73511_1x_BG5_01_20771.mzXML,hibiscus apricot probiotic kefir water tea,TRUE,yes,none
SAMEA7032180,ERX4259895,116564,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/002/ERR4311252/ERR4311252.fastq.gz,11442.G73514,73514_1x_12ul_rerun_BB5_01_21456.mzXML,lemon ginger cayenne kombucha,TRUE,yes,none
SAMEA7032183,ERX4259898,482794,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/005/ERR4311255/ERR4311255.fastq.gz,11442.G73529,73529_1x_BC8_01_20740.mzXML,Belgian Abbey Yeast,TRUE,yes,none
SAMEA7032184,ERX4259899,374367,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/006/ERR4311256/ERR4311256.fastq.gz,11442.G73530,73530_1x_BE8_01_20756.mzXML,European Ale Yeast,TRUE,yes,none
SAMEA7032195,ERX4259910,767594,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/007/ERR4311267/ERR4311267.fastq.gz,11442.G74057,74057_1x_BE2_01_20750.mzXML,beet kvass,TRUE,yes,magenta
SAMEA7032200,ERX4259915,873443,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/002/ERR4311272/ERR4311272.fastq.gz,11442.G74062,74062_1x_BE7_01_20755.mzXML,Oaked sake,TRUE,yes,none
SAMEA7032205,ERX4259920,600114,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/007/ERR4311277/ERR4311277.fastq.gz,11442.G74093,74093_1x_BC2_01_20734.mzXML,apple kombucha (?),TRUE,yes,none
SAMEA7032221,ERX4259936,859957,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/003/ERR4311293/ERR4311293.fastq.gz,11442.G75235,75235_1x_BF4_01_20761.mzXML,mocha nut latte,TRUE,yes,none
SAMEA7032229,ERX4259944,40168,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/001/ERR4311301/ERR4311301.fastq.gz,11442.G75264,75264_1x_BE6_01_20754.mzXML,IPA,TRUE,yes,none
SAMEA7032247,ERX4259962,419969,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/009/ERR4311319/ERR4311319.fastq.gz,11442.G75739,75739_1x_rerun_BB8_01_21460.mzXML,cucumber mint kombucha (organic and homegrown mint from Julia's garden),TRUE,yes,none
SAMEA7032248,ERX4259963,362968,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/000/ERR4311320/ERR4311320.fastq.gz,11442.G75749,75749_1x_BG3_01_20768.mzXML,fish sauce,TRUE,yes,none
SAMEA7032280,ERX4259995,467574,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/002/ERR4311352/ERR4311352.fastq.gz,11442.G75822,G75822_5x_4ul_BF3_01_19732.mzXML,lapsang souchong,TRUE,yes,none
SAMEA7032283,ERX4259998,844595,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/005/ERR4311355/ERR4311355.fastq.gz,11442.G75825,G75825_5x_2ul_BB3_01_19648.mzXML,vanilla peach apricot,TRUE,yes,none
SAMEA7032289,ERX4260004,146928,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/001/ERR4311361/ERR4311361.fastq.gz,11442.G75831,G75831_5x_4ul_BG3_01_19743.mzXML,dragonwell,TRUE,yes,none
SAMEA7032293,ERX4260008,455128,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/005/ERR4311365/ERR4311365.fastq.gz,11442.G75835,G75835_5x_2ul_BB5_01_19650.mzXML,darjeeling 2nd flush,TRUE,yes,none
SAMEA7032294,ERX4260009,552693,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/006/ERR4311366/ERR4311366.fastq.gz,11442.G75836,G75836_5x_4ul_BH5_01_19756.mzXML,Assam,TRUE,yes,none
SAMEA7032297,ERX4260012,102707,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/009/ERR4311369/ERR4311369.fastq.gz,11442.G75846,75846_1x_BE3_01_20751.mzXML,"BDK citrus hops, kombucha",TRUE,yes,none
SAMEA7032298,ERX4260013,56217,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/000/ERR4311370/ERR4311370.fastq.gz,11442.G75847,G75847_5x_BC5_01_19673.mzXML,mandarin Pu-erh,TRUE,yes,none
SAMEA7032299,ERX4260014,581312,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/001/ERR4311371/ERR4311371.fastq.gz,11442.G75848,G75848_5x_4ul_BG5_01_19745.mzXML,sun moon lake,TRUE,yes,none
SAMEA7032302,ERX4260017,616238,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/004/ERR4311374/ERR4311374.fastq.gz,11442.G75851,G75851_5x_4ul_BE6_01_19723.mzXML,japanese sencha,TRUE,yes,none
SAMEA7032304,ERX4260019,624781,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/006/ERR4311376/ERR4311376.fastq.gz,11442.G75853,G75853_5x_2ul_BB7_01_19653.mzXML,Pear & Pomegranate,TRUE,yes,none
SAMEA7032308,ERX4260023,979432,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/000/ERR4311380/ERR4311380.fastq.gz,11442.G75857,G75857_5x_4ul_BH7_01_19758.mzXML,English Breakfast,TRUE,yes,none
SAMEA7032309,ERX4260024,12040,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/001/ERR4311381/ERR4311381.fastq.gz,11442.G75858,G75858_1x_RG7_01_26460.mzXML,"mocha frappaccino, starbucks",TRUE,yes,none
SAMEA7032313,ERX4260028,970343,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/005/ERR4311385/ERR4311385.fastq.gz,11442.G75863,G75863_1x_RF7_01_26446.mzXML,"chocolate almond milk, Silk",TRUE,yes,none
SAMEA7032320,ERX4260035,553695,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/002/ERR4311392/ERR4311392.fastq.gz,11442.G78911,G78911_p19_g8_GB7_01_21678.mzXML,Liver sausage/ liver worst,TRUE,yes,none
SAMEA7032322,ERX4260037,493188,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/004/ERR4311394/ERR4311394.fastq.gz,11442.G78959,G78959_p19_g6_rerun_GE6_01_21713.mzXML,Party platter pack Hot Capocolla,TRUE,yes,none
SAMEA7032323,ERX4260038,635642,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/005/ERR4311395/ERR4311395.fastq.gz,11442.G78960,G78960_p19_g7_GA7_01_21676.mzXML,Party platter pack Hot Calabrese,TRUE,yes,none
SAMEA7032324,ERX4260039,871669,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/006/ERR4311396/ERR4311396.fastq.gz,11442.G78977,G78977_5x_10ul_BE8_01_19725.mzXML,Sour Cream,TRUE,yes,none
SAMEA7032392,ERX4260107,165787,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/004/ERR4311464/ERR4311464.fastq.gz,11442.G79681,G79681_5x_BD11_01_19633.mzXML,chocolate (72%),TRUE,yes,none
SAMEA7032393,ERX4260108,349626,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/005/ERR4311465/ERR4311465.fastq.gz,11442.G79682,G79682_5x_rerun_BB11_01_19636.mzXML,chocolate (100%),TRUE,yes,none
SAMEA7032395,ERX4260110,361736,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/007/ERR4311467/ERR4311467.fastq.gz,11442.G79684,G79684_5x_BC11_01_19645.mzXML,dark chocolate with almonds,TRUE,yes,none
SAMEA7032398,ERX4260113,159175,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/000/ERR4311470/ERR4311470.fastq.gz,11442.G79698,G79698_5x_BA11_01_19623.mzXML,belgium chocolate pudding,TRUE,yes,none
SAMEA7032399,ERX4260114,518287,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/001/ERR4311471/ERR4311471.fastq.gz,11442.G79699,G79699_5x_BH11_01_19704.mzXML,Stonyfield organic O'soy; soy yogurt,TRUE,yes,none
SAMEA7032405,ERX4260120,660330,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/007/ERR4311477/ERR4311477.fastq.gz,11442.G79712,G79712_5x_BB10_01_19624.mzXML,string cheese,TRUE,yes,none
SAMEA7032408,ERX4260123,1216064,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/000/ERR4311480/ERR4311480.fastq.gz,11442.G79718,G79718_5x_4ul_BD4_01_19710.mzXML,dragon pearl jasmine,TRUE,yes,none
